Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,transistor_density,gflops_per_watt,process_generation
228,Intel Celeron G1620T,CPU,2013-09-01,22.0,35.0,94.0,896.7162073877265,2400.0,Intel,Intel,22734.380471662284,11365.18617047024,710.4334735415362,9.539534121146026,324.7196048705783,2
229,AMD Phenom II X6 1055T (95W),CPU,2010-05-01,45.0,95.0,346.0,904.0,2800.0,Unknown,AMD,16170.78845525625,8267.307776504129,510.96440179673874,2.61271676300578,87.02429238425398,1
230,AMD A4-4000,CPU,2013-06-01,32.0,65.0,246.0,1178.0,3000.0,Unknown,AMD,6560.284264740554,4024.037080601812,228.06522217214035,4.788617886178862,61.908262778489416,1
231,AMD Phenom X4 9650,CPU,2008-03-27,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,18670.909833646405,9693.056039163332,572.2680016808725,1.5789473684210527,102.03216883329823,0
232,AMD Athlon XP 2600+,CPU,2003-09-01,130.0,68.0,101.0,63.0,2083.0,Unknown,AMD,17334.817658129043,9317.682469000485,521.3713267622561,0.6237623762376238,137.0247421911836,0
233,Intel Core i5-4350U,CPU,2013-06-04,22.0,15.0,118.0,1400.0,1400.0,Intel,Intel,13525.27329653352,8194.098180379953,377.91633514731654,11.864406779661017,546.2732120253302,2
234,AMD Ryzen Threadripper 1900X,CPU,2017-08-31,14.0,125.0,213.0,9600.0,3800.0,GF,AMD,18617.03398191249,9308.326031403707,581.7320340481541,45.070422535211264,74.46660825122966,3
235,Intel Celeron B820,CPU,2012-07-01,32.0,35.0,131.0,504.0,1700.0,Intel,Intel,13933.72757060614,8098.073794712458,400.06713245918775,3.8473282442748094,231.3735369917845,1
236,Intel Xeon W3670,CPU,2010-08-29,32.0,130.0,239.0,1170.0,3200.0,Intel,Intel,6077.989528780894,3808.5086251403845,213.78839984371416,4.895397489539749,29.296220193387573,1
237,Intel Core i7-7740X,CPU,2017-06-26,14.0,112.0,284.3785150922929,1224.2530533882996,4300.0,Intel,Intel,28267.238055558773,13729.250411987588,858.1190179226087,4.305012469000963,122.58259296417489,3
238,Intel Core i7-4610M,CPU,2014-02-01,22.0,37.0,118.0,1300.0,3000.0,Intel,Intel,6278.687662096997,3898.1614772112043,219.72835039090336,11.016949152542374,105.35571560030282,2
239,AMD Opteron 6282 SE,CPU,2011-11-14,32.0,140.0,316.0,2400.0,2600.0,Unknown,AMD,16489.967422352598,8416.821677057631,520.6252922115744,7.594936708860759,60.120154836125934,1
240,Intel Celeron N2805,CPU,2013-09-11,22.0,4.0,140.19816846288546,3346.5565491192046,1463.0,Intel,Intel,2715.7791707579104,2108.7009380083277,65.88584430747778,23.87018736271962,527.1752345020819,2
241,Intel Pentium 4 HT 631,CPU,2006-01-05,65.0,86.0,81.0,188.0,3000.0,Intel,Intel,17190.797923947273,9221.96087224411,517.6109710374525,2.3209876543209877,107.23210316562918,0
242,Intel Xeon L5609,CPU,2010-03-16,32.0,40.0,239.0,1170.0,1866.0,Intel,Intel,16308.5383347428,8991.627469706895,483.4546552904894,4.895397489539749,224.79068674267236,1
243,AMD Phenom II X3 715 BE,CPU,2010-10-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,17404.661108841,9289.555700450286,525.5232453791289,2.937984496124031,97.78479684684511,1
244,Intel Core i5-8420T,CPU,2018-09-01,14.0,35.0,159.20965925879636,5108.31408444188,1800.0,Intel,Intel,14463.495159509352,7232.769038872871,451.97503174935997,32.08545328357422,206.6505439677963,3
245,AMD Opteron 152,CPU,2005-08-02,90.0,104.0,152.9883620223143,106.0,2600.0,Unknown,AMD,17491.613044527556,9352.834688637791,527.6222030502794,0.6928631603006459,89.93110277536337,0
246,AMD Sempron 3400+,CPU,2006-01-23,90.0,62.0,83.77777777777777,69.0,2000.0,Unknown,AMD,16855.65114328928,9180.308857235079,503.2040586730249,0.823607427055703,148.06949769733998,0
247,Intel Xeon E5603,CPU,2011-02-14,32.0,80.0,239.0,1170.0,1600.0,Intel,Intel,13417.405409442295,8181.574044455662,373.2571299735143,4.895397489539749,102.26967555569578,1
248,Intel Pentium G2100T,CPU,2012-09-03,22.0,35.0,94.0,677.8471864812666,2600.0,Intel,Intel,22792.404523161287,11394.160452751166,712.2473541785894,7.211140281715602,325.5474415071762,2
249,AMD Sempron 2600+,CPU,2004-07-28,90.0,62.0,84.0,63.0,1600.0,Unknown,AMD,13625.92494966937,8088.26183114272,385.9466607749168,0.75,130.4558359861729,0
250,Intel Pentium 4 HT 660,CPU,2005-02-20,90.0,84.0,109.0,169.0,3600.0,Intel,Intel,16949.224502167275,8474.512321600743,529.6458072599614,1.5504587155963303,100.8870514476279,0
251,AMD Athlon Gold PRO 3150GE,CPU,2020-07-21,12.0,35.0,172.6805172185197,4316.888461582657,3500.0,GF,AMD,28003.088983008856,14000.062344309988,875.0963467828093,24.999279195578403,400.0017812659997,0
252,Intel Core i7-10750H,CPU,2020-04-02,14.0,45.0,149.0,1173.879893752581,2600.0,Intel,Intel,27012.40252313662,13504.065360759378,844.1272397759902,7.87838854867504,300.0903413502084,3
253,Intel Celeron 887,CPU,2012-09-01,32.0,17.0,131.0,504.0,1500.0,Intel,Intel,13544.18208232605,8098.240732136698,381.8033010090436,3.8473282442748094,476.367101890394,1
254,AMD A8-3550MX,CPU,2011-12-20,32.0,45.0,228.0,1178.0,2000.0,Unknown,AMD,17034.52494296421,9196.823894353169,511.0717546803222,5.166666666666667,204.3738643189593,1
