cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category,performance_per_core,performance_per_watt,thread_efficiency,brand,cpu_name_clean
AMD EPYC 7351,883.99,23566,26.66,1821,2.06,155.0,152.04,16,2019,SP3,Server,1472.875,152.03870967741935,1.2363574641432573,AMD,AMD EPYC 7351
Intel Xeon E5-2696 v3 @ 2.30GHz,2498.0,23556,9.43,2209,0.88,145.0,162.45,18,2015,LGA2011-v3,Server,1308.6666666666667,162.4551724137931,1.6879775853285786,Intel,Intel Xeon E5-2696 v3
Intel Core i5-12500H,311.0,23530,75.66,3678,11.83,45.0,522.9,4,2022,FCBGA1744,Laptop,5882.5,522.8888888888889,0.6252443688907777,Intel,Intel Core i5-12500H
Intel Xeon W-1390 @ 2.80GHz,469.99,23515,50.03,3358,7.14,80.0,293.94,8,2021,FCLGA1200,Server,2939.375,293.9375,1.1424197320859026,Intel,Intel Xeon W-1390
Intel Xeon E5-2679 v4 @ 2.50GHz,2702.0,23512,8.7,1951,0.72,200.0,117.56,20,2016,FCLGA2011-3,Server,1175.6,117.56,1.659578087784961,Intel,Intel Xeon E5-2679 v4
Intel Core i9-10900KF @ 3.70GHz,339.99,23508,69.14,3141,9.24,125.0,188.06,10,2020,FCLGA1200,Desktop,2350.8,188.064,1.3361408882082695,Intel,Intel Core i9-10900KF
Intel Xeon E-2388G @ 3.20GHz,539.0,23501,43.6,3323,6.16,95.0,247.37,8,2021,FCLGA1200,Server,2937.625,247.37894736842105,1.1311859069826815,Intel,Intel Xeon E-2388G
AMD Ryzen 7 6800H,395.0,23447,,3311,,45.0,521.04,8,2022,FP7,Laptop,2930.875,521.0444444444445,1.1296967629120995,AMD,AMD Ryzen 7 6800H
Intel Xeon Gold 6146 @ 3.20GHz,3062.0,23432,7.65,2493,0.81,165.0,142.01,12,2018,FCLGA3647,Server,1952.6666666666667,142.0121212121212,1.2767156025947421,Intel,Intel Xeon Gold 6146
AMD Ryzen 9 5980HX,395.0,23425,,3333,,45.0,520.55,8,2021,FP6,Laptop,2928.125,520.5555555555555,1.1382710779082177,AMD,AMD Ryzen 9 5980HX
Intel Core i9-7920X @ 2.90GHz,375.0,23292,62.11,2467,6.58,140.0,166.37,12,2017,FCLGA2066,Desktop,1941.0,166.37142857142857,1.270994332818135,Intel,Intel Core i9-7920X
AMD Ryzen 7 3800X,248.59,23275,93.63,2735,11.0,105.0,221.67,8,2019,AM4,Desktop,2909.375,221.66666666666666,0.9400644468313641,AMD,AMD Ryzen 7 3800X
Intel Xeon W-2175 @ 2.50GHz,395.0,23215,58.77,2481,6.28,140.0,165.82,14,2019,FCLGA2066,Server,1658.2142857142858,165.82142857142858,1.4961878096058583,Intel,Intel Xeon W-2175
Intel Xeon E5-2696 v4 @ 2.20GHz,2793.95,23207,8.31,2248,0.8,145.0,160.05,22,2016,FCLGA2011-3,Server,1054.8636363636363,160.04827586206898,2.131081139311415,Intel,Intel Xeon E5-2696 v4
Intel Xeon Platinum 8176 @ 2.10GHz,2793.7,23179,8.3,2048,0.73,165.0,140.48,28,2019,FCLGA3647,Server,827.8214285714286,140.47878787878787,2.4739635014452737,Intel,Intel Xeon Platinum 8176
AMD Ryzen 9 5900HX,395.0,23160,,3230,,45.0,514.67,8,2021,FP6,Laptop,2895.0,514.6666666666666,1.1157167530224525,AMD,AMD Ryzen 9 5900HX
Intel Core i5-1250P,169.99,23120,,3619,,28.0,825.7,4,2022,BGA1700,Laptop,5780.0,825.7142857142857,0.6261245674740484,Intel,Intel Core i5-1250P
Intel Core i9-11900 @ 2.50GHz,347.88,23117,66.45,3443,9.9,65.0,355.65,8,2021,FCLGA1200,Desktop,2889.625,355.6461538461538,1.191504087900679,Intel,Intel Core i9-11900
Intel Core i9-10850K @ 3.60GHz,408.44,23055,56.45,3091,7.57,125.0,184.44,10,2020,FCLGA1200,Desktop,2305.5,184.44,1.340707004988072,Intel,Intel Core i9-10850K
AMD EPYC 7F32,395.0,23026,,2423,,180.0,127.92,8,2020,SP3,Server,2878.25,127.92222222222222,0.8418309736819248,AMD,AMD EPYC 7F32
Intel Xeon W-1290P @ 3.70GHz,997.98,22997,23.04,3204,3.21,125.0,183.97,10,2020,FCLGA1200,Server,2299.7,183.976,1.3932252032873855,Intel,Intel Xeon W-1290P
AMD Ryzen Threadripper 1920X,299.99,22903,76.35,2300,7.67,180.0,127.24,12,2017,sTR4,Desktop,1908.5833333333333,127.2388888888889,1.2050823036283458,AMD,AMD Ryzen Threadripper 1920X
Intel Xeon Gold 6138 @ 2.00GHz,1662.95,22851,13.74,2220,1.33,125.0,182.81,20,2017,FCLGA3647,Server,1142.55,182.808,1.9430221872128135,Intel,Intel Xeon Gold 6138
AMD Ryzen 7 PRO 3700,329.99,22800,69.09,2673,8.1,65.0,350.76,8,2019,AM4,Desktop,2850.0,350.7692307692308,0.9378947368421052,AMD,AMD Ryzen 7 PRO 3700
Intel Core i9-11900KB @ 3.30GHz,539.0,22769,42.24,3303,6.13,65.0,350.29,8,2021,FCBGA1787,Desktop,2846.125,350.2923076923077,1.1605252755940094,Intel,Intel Core i9-11900KB
Intel Xeon Gold 6140 @ 2.30GHz,1000.0,22733,22.73,1840,1.84,140.0,162.38,18,2017,FCLGA3647,Server,1262.9444444444443,162.37857142857143,1.4569128579597943,Intel,Intel Xeon Gold 6140
AMD Ryzen 7 3700X,367.52,22716,61.81,2680,7.29,65.0,349.48,8,2019,AM4,Desktop,2839.5,349.4769230769231,0.9438281387568234,AMD,AMD Ryzen 7 3700X
Intel Core i7-12700T,339.0,22688,66.93,3295,9.72,35.0,648.24,8,2022,FCLGA1700,Desktop,2836.0,648.2285714285714,1.1618476727785614,Intel,Intel Core i7-12700T
Intel Core i9-10900X @ 3.70GHz,560.0,22683,40.51,2696,4.81,165.0,137.47,10,2019,FCLGA2066,Desktop,2268.3,137.47272727272727,1.1885553057355729,Intel,Intel Core i9-10900X
Intel Core i9-11950H @ 2.60GHz,556.0,22570,40.59,3298,5.93,45.0,501.56,8,2021,FCBGA1787,Laptop,2821.25,501.55555555555554,1.1689853788214444,Intel,Intel Core i9-11950H
AMD Ryzen 7 5700GE,395.0,22566,,3371,,35.0,644.73,8,2021,AM4,Desktop,2820.75,644.7428571428571,1.1950722325622618,AMD,AMD Ryzen 7 5700GE
Apple M1 Max 10 Core 3200 MHz,477.5,22566,,3851,,125.0,,10,2021,unknown,"Desktop, Laptop",2256.6,180.528,1.7065496765044759,Apple,Apple M1 Max 10 Core 3200 MHz
Intel Core i7-11700B @ 3.20GHz,395.0,22539,,3362,,65.0,346.75,8,2021,unknown,Desktop,2817.375,346.75384615384615,1.1933093748613515,Intel,Intel Core i7-11700B
AMD Ryzen 7 PRO 5750GE,395.0,22315,,3320,,35.0,637.56,8,2021,AM4,Desktop,2789.375,637.5714285714286,1.1902307864665023,AMD,AMD Ryzen 7 PRO 5750GE
Apple M1 Pro 10 Core 3200 MHz,477.5,22314,,3843,,125.0,,10,2021,unknown,"Desktop, Laptop",2231.4,178.512,1.7222371605270232,Apple,Apple M1 Pro 10 Core 3200 MHz
Intel Xeon Platinum 8124M @ 3.00GHz,1504.63,22298,,2051,,165.0,,18,2018,FCLGA3647,Server,1238.7777777777778,135.13939393939393,1.655664185128711,Intel,Intel Xeon Platinum 8124M
Intel Xeon Gold 6152 @ 2.10GHz,3167.14,22291,7.04,2155,0.68,140.0,159.22,22,2018,FCLGA3647,Server,1013.2272727272727,159.22142857142856,2.1268673455654747,Intel,Intel Xeon Gold 6152
Intel Xeon Gold 6136 @ 3.00GHz,2500.0,22266,8.91,2224,0.89,150.0,148.44,12,2017,FCLGA3647,Server,1855.5,148.44,1.1985987604419295,Intel,Intel Xeon Gold 6136
AMD Ryzen 9 5900HS,395.0,22215,,3201,,35.0,634.71,8,2021,FP6,Laptop,2776.875,634.7142857142857,1.1527346387575963,AMD,AMD Ryzen 9 5900HS
Intel Xeon Gold 6334 @ 3.60GHz,2570.41,22160,8.62,2592,1.01,165.0,134.3,8,2021,FCLGA4189,Server,2770.0,134.3030303030303,0.935740072202166,Intel,Intel Xeon Gold 6334
Intel Xeon Gold 5218 @ 2.30GHz,1405.64,22117,15.73,2245,1.6,125.0,176.94,16,2019,FCLGA3647,Server,1382.3125,176.936,1.6240900664647104,Intel,Intel Xeon Gold 5218
AMD Ryzen 5 5600X,216.99,22088,101.79,3377,15.56,65.0,339.82,6,2020,AM4,Desktop,3681.3333333333335,339.81538461538463,0.9173306772908366,AMD,AMD Ryzen 5 5600X
Intel Xeon W-1290E @ 3.50GHz,500.0,22066,44.13,2914,5.83,95.0,232.27,10,2021,FCLGA1200,Server,2206.6,232.2736842105263,1.320583703435149,Intel,Intel Xeon W-1290E
AMD Ryzen Threadripper 1920,729.5,22066,,2299,,140.0,157.62,12,2021,sTR4,Desktop,1838.8333333333333,157.61428571428573,1.2502492522432702,AMD,AMD Ryzen Threadripper 1920
Intel Xeon W-2255 @ 3.70GHz,778.0,22042,28.33,2727,3.5,165.0,133.59,10,2020,FCLGA2066,"Desktop, Server",2204.2,133.5878787878788,1.2371835586607387,Intel,Intel Xeon W-2255
AMD EPYC 7551,2974.12,22005,7.4,1736,0.58,180.0,122.25,32,2017,SP3,Server,687.65625,122.25,2.524517155192002,AMD,AMD EPYC 7551
Intel Core i9-9900X @ 3.50GHz,654.99,21868,33.39,2604,3.98,165.0,132.54,10,2018,FCLGA2066,Desktop,2186.8,132.53333333333333,1.1907810499359794,Intel,Intel Core i9-9900X
Intel Xeon Gold 6130T @ 2.10GHz,1988.0,21803,10.97,1698,0.85,125.0,174.43,16,2020,FCLGA3647,Server,1362.6875,174.424,1.2460670549924322,Intel,Intel Xeon Gold 6130T
Intel Core i9-10910 @ 3.60GHz,477.5,21799,,3143,,125.0,174.39,10,2020,FCLGA1200,Desktop,2179.9,174.392,1.441809257305381,Intel,Intel Core i9-10910
Intel Xeon E5-2698 v4 @ 2.20GHz,908.7,21755,23.94,2141,2.36,135.0,161.15,20,2016,FCLGA2011-3,Server,1087.75,161.14814814814815,1.9682831532980924,Intel,Intel Xeon E5-2698 v4
Intel Xeon E5-2697 v4 @ 2.30GHz,874.0,21545,24.65,1963,2.25,145.0,148.59,18,2016,FCLGA2011-3,Server,1196.9444444444443,148.58620689655172,1.6400092828962638,Intel,Intel Xeon E5-2697 v4
Intel Xeon E5-2697A v4 @ 2.60GHz,1388.8600000000001,21494,,2038,,145.0,148.24,16,2016,FCLGA2011-3,Server,1343.375,148.2344827586207,1.5170745324276542,Intel,Intel Xeon E5-2697A v4
AMD Ryzen 7 5800H,395.0,21469,,3083,,45.0,477.09,8,2021,FP6,Laptop,2683.625,477.0888888888889,1.1488192277236946,AMD,AMD Ryzen 7 5800H
Intel Core i7-11700F @ 2.50GHz,289.99,21447,73.96,3339,11.51,65.0,329.95,8,2021,FCLGA1200,Desktop,2680.875,329.95384615384614,1.2454888795635752,Intel,Intel Core i7-11700F
AMD Ryzen 9 5980HS,395.0,21412,,3145,,35.0,611.76,8,2021,FP6,Laptop,2676.5,611.7714285714286,1.1750420325051374,AMD,AMD Ryzen 9 5980HS
Intel Core i9-11900H @ 2.50GHz,546.0,21385,39.17,3202,5.86,45.0,475.22,8,2021,FCBGA1787,Laptop,2673.125,475.22222222222223,1.1978489595510873,Intel,Intel Core i9-11900H
Intel Core i5-12600,238.97,21368,89.42,3883,16.25,65.0,328.73,6,2022,LGA 1700,Desktop,3561.3333333333335,328.73846153846154,1.09032197678772,Intel,Intel Core i5-12600
Intel Core i7-11800H @ 2.30GHz,395.0,21363,54.08,3134,7.93,45.0,474.74,8,2021,FCBGA1787,Laptop,2670.375,474.73333333333335,1.1736179375555869,Intel,Intel Core i7-11800H
AMD Ryzen 5 5600,189.99,21350,112.37,3208,16.88,65.0,328.46,6,2022,AM4,Desktop,3558.3333333333335,328.46153846153845,0.9015456674473068,AMD,AMD Ryzen 5 5600
Intel Core i9-7900X @ 3.30GHz,269.98,21310,78.93,2594,9.61,140.0,152.21,10,2017,FCLGA2066,Desktop,2131.0,152.21428571428572,1.2172688878460816,Intel,Intel Core i9-7900X
AMD EPYC 7281,1098.95,21230,19.32,1613,1.47,155.0,136.97,16,2017,SP3,Server,1326.875,136.96774193548387,1.2156382477626,AMD,AMD EPYC 7281
Intel Xeon Gold 5315Y @ 3.20GHz,1267.68,21225,16.74,2524,1.99,140.0,151.61,8,2021,FCLGA4189,Server,2653.125,151.60714285714286,0.9513309776207303,Intel,Intel Xeon Gold 5315Y
Intel Core i7-11850H @ 2.50GHz,395.0,21212,53.7,3219,8.15,45.0,471.38,8,2021,FCBGA1787,Laptop,2651.5,471.3777777777778,1.2140297944559684,Intel,Intel Core i7-11850H
Intel Xeon W-2155 @ 3.30GHz,1530.39,21198,13.85,2637,1.72,140.0,151.41,10,2018,FCLGA2066,Server,2119.8,151.4142857142857,1.2439852816303423,Intel,Intel Xeon W-2155
Intel Xeon Gold 6132 @ 2.60GHz,2139.95,21042,9.83,2180,1.02,140.0,150.3,14,2018,FCLGA3647,Server,1503.0,150.3,1.4504324683965402,Intel,Intel Xeon Gold 6132
Intel Core i7-1270P,169.99,21030,,3796,,28.0,751.07,4,2022,BGA1700,Laptop,5257.5,751.0714285714286,0.7220161673799335,Intel,Intel Core i7-1270P
Intel Xeon Silver 4310T @ 2.30GHz,668.18,20973,31.39,2288,3.42,105.0,199.74,10,2021,FCLGA4189,Server,2097.3,199.74285714285713,1.090926429218519,Intel,Intel Xeon Silver 4310T
AMD Ryzen 9 5900H,395.0,20960,,3312,,95.0,,8,2022,AM4,Laptop,2620.0,220.6315789473684,1.2641221374045801,AMD,AMD Ryzen 9 5900H
AMD Ryzen 7 5800HS Creator Edition,395.0,20948,,3101,,95.0,,8,2021,unknown,Laptop,2618.5,220.50526315789475,1.1842658010311247,AMD,AMD Ryzen 7 5800HS Creator Edition
Intel Core i9-10900F @ 2.80GHz,350.0,20881,59.66,3070,8.77,65.0,321.25,10,2020,FCLGA1200,Desktop,2088.1,321.24615384615385,1.4702360998036492,Intel,Intel Core i9-10900F
AMD Ryzen 7 PRO 4700G,395.0,20848,,2700,,65.0,320.74,8,2020,AM4,Desktop,2606.0,320.73846153846154,1.0360706062931697,AMD,AMD Ryzen 7 PRO 4700G
Intel Xeon E5-2697R v4 @ 2.30GHz,1504.63,20843,,2007,,145.0,143.74,18,2021,FCLGA2011-3,Server,1157.9444444444443,143.7448275862069,1.733243774888452,Intel,Intel Xeon E5-2697R v4
AMD EPYC 7262,571.95,20827,36.41,2026,3.54,155.0,134.37,8,2019,SP3,Server,2603.375,134.36774193548388,0.778220579056033,AMD,AMD EPYC 7262
Intel Xeon Gold 6130 @ 2.10GHz,1770.0,20721,11.71,1880,1.06,125.0,165.77,16,2017,FCLGA3647,Server,1295.0625,165.768,1.451667390569953,Intel,Intel Xeon Gold 6130
AMD Ryzen 7 5800HS,395.0,20684,,3060,,35.0,590.97,8,2021,FP6,Laptop,2585.5,590.9714285714285,1.1835234964223555,AMD,AMD Ryzen 7 5800HS
Intel Core i9-10900E @ 2.80GHz,444.0,20658,46.53,2969,6.69,65.0,317.82,10,2021,FCLGA1200,"Desktop, Mobile/Embedded",2065.8,317.81538461538463,1.43721560654468,Intel,Intel Core i9-10900E
AMD Ryzen 5 PRO 5650G,215.8,20633,,3234,,65.0,317.42,6,2021,AM4,Desktop,3438.8333333333335,317.4307692307692,0.9404352251248,AMD,AMD Ryzen 5 PRO 5650G
Intel Core i7-11700 @ 2.50GHz,316.99,20588,64.95,3146,9.92,95.0,216.72,8,2021,FCLGA1200,Desktop,2573.5,216.7157894736842,1.2224596852535456,Intel,Intel Core i7-11700
AMD Ryzen 7 PRO 4750G,299.99,20570,68.57,2710,9.03,65.0,316.46,8,2020,AM4,Desktop,2571.25,316.46153846153845,1.0539620807000487,AMD,AMD Ryzen 7 PRO 4750G
Intel Xeon W-1290 @ 3.20GHz,619.0,20533,33.17,3093,5.0,80.0,256.66,10,2020,FCLGA1200,Server,2053.3,256.6625,1.5063556226562118,Intel,Intel Xeon W-1290
AMD EPYC 7451,2015.12,20471,10.16,1975,0.98,180.0,113.73,24,2018,SP3,Server,852.9583333333334,113.72777777777777,2.3154706658199404,AMD,AMD EPYC 7451
Intel Xeon W-2150B @ 3.00GHz,477.5,20457,,2711,,125.0,,10,2018,FCLGA2066,Server,2045.7,163.656,1.3252187515275944,Intel,Intel Xeon W-2150B
Intel Core i9-10900 @ 2.80GHz,389.97,20446,52.43,3057,7.84,65.0,314.55,10,2020,FCLGA1200,Desktop,2044.6,314.55384615384617,1.4951579771104373,Intel,Intel Core i9-10900
