r23_idx,cpu_idx,similarity,r23_name,cpu_name
174,553,82,Core i7 10850H,Intel Core i7-10850H @ 2.70GHz
175,495,87,Ryzen 7 4700U,AMD Ryzen 7 4700U
176,528,81,Core i7 7800X,Intel Core i7-7800X @ 3.50GHz
177,586,81,Core i7 6850K,Intel Core i7-6850K @ 3.60GHz
178,609,82,Core i5 9600KF,Intel Core i5-9600KF @ 3.70GHz
179,542,82,Core i7 10750H,Intel Core i7-10750H @ 2.60GHz
180,418,89,Ryzen 5 Pro 5650U,AMD Ryzen 5 PRO 5650U
181,512,86,Ryzen 5 2600,AMD Ryzen 5 2600
182,513,87,Ryzen 5 5500U,AMD Ryzen 5 5500U
183,522,80,Core i7 8700,Intel Core i7-8700 @ 3.20GHz
184,576,81,Core i7 9850H,Intel Core i7-9850H @ 2.60GHz
185,613,82,Core i9 8950HK,Intel Core i9-8950HK @ 2.90GHz
186,589,81,Core i7 9750H,Intel Core i7-9750H @ 2.60GHz
187,655,82,Core i5 10400T,Intel Core i5-10400T @ 2.00GHz
188,572,82,Core i5 10500H,Intel Core i5-10500H @ 2.50GHz
189,619,81,Core i7 6800K,Intel Core i7-6800K @ 3.40GHz
190,532,87,Ryzen 3 3300X,AMD Ryzen 3 3300X
191,647,81,Core i5 8600K,Intel Core i5-8600K @ 3.60GHz
192,540,82,Core i7 11375H,Intel Core i7-11375H @ 3.30GHz
193,614,81,Core i5 9600K,Intel Core i5-9600K @ 3.70GHz
194,526,87,Ryzen 5 1600X,AMD Ryzen 5 1600X
195,651,81,Core i3 10320,Intel Core i3-10320 @ 3.80GHz
196,605,82,Core i7 11390H,Intel Core i7-11390H @ 3.40GHz
197,684,81,Core i5 9400F,Intel Core i5-9400F @ 2.90GHz
198,546,86,Ryzen 5 1600,AMD Ryzen 5 1600
199,620,82,Core i7 1165G7,Intel Core i7-1165G7 @ 2.80GHz
200,611,89,Ryzen 3 Pro 4350G,AMD Ryzen 3 PRO 4350G
201,674,80,Core i5 9500,Intel Core i5-9500 @ 3.00GHz
202,699,81,Core i3 10300,Intel Core i3-10300 @ 3.70GHz
203,599,82,Core i7 1195G7,Intel Core i7-1195G7 @ 2.90GHz
204,654,81,Core i7 8750H,Intel Core i7-8750H @ 2.20GHz
205,618,82,Core i5 11320H,Intel Core i5-11320H @ 3.20GHz
206,650,82,Core i7 10710U,Intel Core i7-10710U @ 1.10GHz
207,705,80,Core i5 8400,Intel Core i5-8400 @ 2.80GHz
208,678,81,Core i7 7700K,Intel Core i7-7700K @ 4.20GHz
209,596,87,Ryzen 5 4500U,AMD Ryzen 5 4500U
210,584,88,Ryzen 3 4300GE,AMD Ryzen 3 4300GE
211,600,82,Core i7 1185G7,Intel Core i7-1185G7 @ 3.00GHz
212,555,82,Core i7 11370H,Intel Core i7-11370H @ 3.30GHz
213,711,82,Core i3 10105F,Intel Core i3-10105F @ 3.70GHz
214,570,86,Ryzen 3 3100,AMD Ryzen 3 3100
