cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category,performance_per_core,performance_per_watt,thread_efficiency,brand,cpu_name_clean,singleScore,multiScore,baseClock,turboClock,boost_headroom,smt_efficiency,single_efficiency,scaling_efficiency,gaming_score,productivity_score,combined_score,r23_per_dollar,gaming_value,productivity_value
ARM Neoverse-N1 64 Core 0 MHz,6812.49,28079,,1085,,280.0,,64,2021,unknown,Unknown,438.734375,100.28214285714286,2.4730225435378754,Other,ARM Neoverse-N1 64 Core 0 MHz,,,,,,,,,1085.0,28079.0,28079.0,,0.15926628883124966,4.121694123587704
AMD Ryzen Threadripper 1950X,684.47,28037,40.96,2293,3.35,180.0,155.76,16,2017,sTR4,Desktop,1752.3125,155.76111111111112,1.3085565502728538,AMD,AMD Ryzen Threadripper 1950X,,,,,,,,,2293.0,28037.0,28037.0,,3.350037255102488,40.961619939515245
Intel Xeon W-2275 @ 3.30GHz,1112.0,27904,25.09,2790,2.51,165.0,169.12,14,2020,FCLGA2066,Desktop,1993.142857142857,169.11515151515152,1.3997993119266054,Intel,Intel Xeon W-2275,,,,,,,,,2790.0,27904.0,27904.0,,2.508992805755396,25.093525179856115
Intel Xeon Gold 6238 @ 2.10GHz,2698.95,27617,10.23,1691,0.63,140.0,197.26,22,2019,FCLGA3647,Server,1255.3181818181818,197.2642857142857,1.347068834413586,Intel,Intel Xeon Gold 6238,,,,,,,,,1691.0,27617.0,27617.0,,0.626539950721577,10.232497823227552
Intel Xeon Gold 6212U @ 2.40GHz,2000.0,27470,13.73,2013,1.01,165.0,166.48,24,2019,FCLGA3647,Server,1144.5833333333333,166.4848484848485,1.7587186021113943,Intel,Intel Xeon Gold 6212U,,,,,,,,,2013.0,27470.0,27470.0,,1.0065,13.735
AMD EPYC 7571,2840.0,27445,,1934,,120.0,228.71,32,2019,SP3,Server,857.65625,228.70833333333334,2.2549826926580434,AMD,AMD EPYC 7571,,,,,,,,,1934.0,27445.0,27445.0,,0.6809859154929577,9.663732394366198
Intel Core i5-12600K,277.98,27429,98.67,3965,14.26,150.0,182.86,6,2021,FCLGA1700,Desktop,4571.5,182.86,0.8673301979656568,Intel,Intel Core i5-12600K,1904.0,17400.0,3.7,4.9,0.32432432432432434,1.6,388.57142857142856,0.9138655462184874,6552.8,12751.2,9652.0,62.59443125404705,23.572918915029856,45.870925965896824
Intel Core i7-12700H,457.0,27391,59.94,3766,8.24,45.0,608.69,6,2022,FCBGA1744,Laptop,4565.166666666667,608.6888888888889,0.824942499361104,Intel,Intel Core i7-12700H,1774.0,16860.0,2.3,4.7,1.0434782608695654,1.4285714285714286,377.4468085106383,0.6788532775004027,6299.8,12334.2,9317.0,36.89277899343545,13.785120350109409,26.98949671772429
Intel Xeon Platinum 8173M @ 2.00GHz,2730.35,27377,,2123,,165.0,165.92,28,2018,FCLGA3647,Server,977.75,165.9212121212121,2.1713116849910508,Intel,Intel Xeon Platinum 8173M,,,,,,,,,2123.0,27377.0,27377.0,,0.7775559909901661,10.026919625689015
Intel Xeon W-2195 @ 2.30GHz,1983.82,27325,13.77,2413,1.22,140.0,195.18,18,2017,FCLGA2066,Server,1518.0555555555557,195.17857142857142,1.5895333943275387,Intel,Intel Xeon W-2195,,,,,,,,,2413.0,27325.0,27325.0,,1.2163401921545303,13.773931102620198
Intel Xeon Gold 6226R @ 2.90GHz,1372.08,27211,19.83,2290,1.67,150.0,181.41,16,2020,FCLGA3647,Server,1700.6875,181.40666666666667,1.3465142773143215,Intel,Intel Xeon Gold 6226R,,,,,,,,,2290.0,27211.0,27211.0,,1.6689988921928751,19.83193399801761
